-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Model Filename                                                      Arch    Output Stems (SDR)                                            Friendly Name
bs_roformer_vocals_revive_v2_unwa.ckpt                              MDXC    Unknown                                                       Roformer Model: BS Roformer | Vocals Revive V2 by Unwa
bs_roformer_vocals_revive_v3e_unwa.ckpt                             MDXC    Unknown                                                       Roformer Model: BS Roformer | Vocals Revive V3e by Unwa
mel_band_roformer_vocals_becruily.ckpt                              MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals by becruily
mel_band_roformer_instrumental_becruily.ckpt                        MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental by becruily
mel_band_roformer_vocal_fullness_aname.ckpt                         MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals Fullness by Aname
bs_roformer_vocals_gabox.ckpt                                       MDXC    Unknown                                                       Roformer Model: BS Roformer | Vocals by Gabox
mel_band_roformer_vocals_gabox.ckpt                                 MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals by Gabox
mel_band_roformer_vocals_v2_gabox.ckpt                              MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals V2 by Gabox
mel_band_roformer_vocals_fv1_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV1 by Gabox
mel_band_roformer_vocals_fv2_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV2 by Gabox
mel_band_roformer_vocals_fv3_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV3 by Gabox
mel_band_roformer_vocals_fv4_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV4 by Gabox
mel_band_roformer_vocals_fv5_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV5 by Gabox
mel_band_roformer_vocals_fv6_gabox.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Vocals FV6 by Gabox
mel_band_roformer_instrumental_gabox.ckpt                           MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental by Gabox
mel_band_roformer_instrumental_2_gabox.ckpt                         MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental 2 by Gabox
mel_band_roformer_instrumental_3_gabox.ckpt                         MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental 3 by Gabox
mel_band_roformer_instrumental_bleedless_v1_gabox.ckpt              MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Bleedless V1 by Gabox
mel_band_roformer_instrumental_bleedless_v2_gabox.ckpt              MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Bleedless V2 by Gabox
mel_band_roformer_instrumental_bleedless_v3_gabox.ckpt              MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Bleedless V3 by Gabox
mel_band_roformer_instrumental_fullness_v1_gabox.ckpt               MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Fullness V1 by Gabox
mel_band_roformer_instrumental_fullness_v2_gabox.ckpt               MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Fullness V2 by Gabox
mel_band_roformer_instrumental_fullness_v3_gabox.ckpt               MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Fullness V3 by Gabox
mel_band_roformer_instrumental_fullness_noise_v4_gabox.ckpt         MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental Fullness Noisy V4 by Gabox
mel_band_roformer_instrumental_instv5_gabox.ckpt                    MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV5 by Gabox
mel_band_roformer_instrumental_instv5n_gabox.ckpt                   MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV5N by Gabox
mel_band_roformer_instrumental_instv6_gabox.ckpt                    MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV6 by Gabox
mel_band_roformer_instrumental_instv6n_gabox.ckpt                   MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV6N by Gabox
mel_band_roformer_instrumental_instv7_gabox.ckpt                    MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV7 by Gabox
mel_band_roformer_instrumental_instv7n_gabox.ckpt                   MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV7N by Gabox
mel_band_roformer_instrumental_instv8_gabox.ckpt                    MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV8 by Gabox
mel_band_roformer_instrumental_instv8n_gabox.ckpt                   MDXC    Unknown                                                       Roformer Model: MelBand Roformer | INSTV8N by Gabox
mel_band_roformer_instrumental_fv7z_gabox.ckpt                      MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental FV7z by Gabox
mel_band_roformer_instrumental_fv8_gabox.ckpt                       MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental FV8 by Gabox
mel_band_roformer_instrumental_fvx_gabox.ckpt                       MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Instrumental FVX by Gabox
dereverb_mel_band_roformer_anvuew_sdr_19.1729.ckpt                  MDXC    noreverb*, reverb                                             Roformer Model: MelBand Roformer | De-Reverb by anvuew
dereverb_mel_band_roformer_less_aggressive_anvuew_sdr_18.8050.ckpt  MDXC    noreverb*, reverb                                             Roformer Model: MelBand Roformer | De-Reverb Less Aggressive by anvuew
dereverb_mel_band_roformer_mono_anvuew.ckpt                         MDXC    Unknown                                                       Roformer Model: MelBand Roformer | De-Reverb Mono by anvuew
dereverb_big_mbr_ep_362.ckpt                                        MDXC    Unknown                                                       Roformer Model: MelBand Roformer | De-Reverb Big by Sucial
dereverb_super_big_mbr_ep_346.ckpt                                  MDXC    Unknown                                                       Roformer Model: MelBand Roformer | De-Reverb Super Big by Sucial
dereverb-echo_mel_band_roformer_sdr_10.0169.ckpt                    MDXC    dry, no dry                                                   Roformer Model: MelBand Roformer | De-Reverb-Echo by Sucial
dereverb-echo_mel_band_roformer_sdr_13.4843_v2.ckpt                 MDXC    dry*, no dry                                                  Roformer Model: MelBand Roformer | De-Reverb-Echo V2 by Sucial
dereverb_echo_mbr_fused.ckpt                                        MDXC    Unknown                                                       Roformer Model: MelBand Roformer | De-Reverb-Echo Fused by Sucial
MelBandRoformerSYHFT.ckpt                                           MDXC    vocals* (8.0), other                                          Roformer Model: MelBand Roformer Kim | SYHFT by SYH99999
